股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
1531,高林股,9,0,0,"1,561","1,570","45,527",0,0,0,9,9,"45,527",0,
1532,勤美,8,0,0,"2,775","2,783","105,651",0,0,0,0,0,"105,651",0,
1533,車王電,0,5,0,531,526,"24,636",0,0,0,2,2,"24,636",0,
1535,中宇,0,2,0,53,51,"30,935",0,0,0,0,0,"30,935",0,
1536,和大,64,78,10,"6,285","6,261","69,739",3,15,0,129,141,"69,739",0,
1537,廣隆,0,0,0,59,59,"20,515",0,0,0,0,0,"20,515",0,
1538,正峰,0,0,0,0,0,0,0,0,0,0,0,0,0,OX
1539,巨庭,2,1,0,"1,209","1,210","16,342",0,0,0,0,0,"16,342",0,
1540,喬福,4,36,2,"1,418","1,384","21,368",1,0,0,2,1,"21,368",0,
1541,錩泰,1,0,0,110,111,"19,700",0,0,0,0,0,"19,700",0,
1558,伸興,2,6,1,164,159,"16,133",0,0,0,0,0,"16,133",0,
1560,中砂,61,107,0,"1,405","1,359","37,691",0,2,0,19,21,"37,691",0,
1563,巧新,134,9,10,"3,080","3,195","42,301",0,2,0,0,2,"42,301",1,
1568,倉佑,1,3,0,"2,013","2,011","25,771",0,0,0,1,1,"25,771",0,
1582,信錦,16,6,0,"3,680","3,690","36,067",0,0,0,4,4,"36,067",0,
1583,程泰,1,0,0,70,71,"27,350",0,0,0,0,0,"27,350",0,
1587,吉茂,6,0,0,"1,664","1,670","20,013",0,0,0,0,0,"20,013",0,
1589,永冠-KY,0,0,0,628,628,0,0,0,0,0,0,0,0,OX!
1590,亞德客-KY,8,43,0,130,95,"49,999",0,0,0,0,0,"49,999",0,
1597,直得,677,625,0,"4,032","4,084","22,315",2,1,0,52,51,"22,315",7,
1598,岱宇,15,39,0,"2,134","2,110","44,785",0,0,0,0,0,"44,785",0,
1603,華電,2,2,0,"1,919","1,919","47,922",0,0,0,0,0,"47,922",0,
1604,聲寶,0,5,0,218,213,"96,050",0,0,0,0,0,"96,050",0,
1605,華新,947,495,0,"42,080","42,532","1,107,833",24,2,0,"1,230","1,208","1,107,833",2,
1608,華榮,136,29,0,"7,174","7,281","158,193",8,0,0,50,42,"158,193",0,
1609,大亞,178,82,3,"12,204","12,297","196,315",0,0,0,13,13,"196,315",0,
1611,中電,3,4,0,"3,263","3,262","80,683",6,0,0,9,3,"80,683",0,
1612,宏泰,9,0,0,"1,805","1,814","79,020",0,0,0,0,0,"79,020",0,
1614,三洋電,0,1,0,300,299,"67,278",0,0,0,0,0,"67,278",0,
1615,大山,0,1,0,113,112,"49,657",0,0,0,0,0,"49,657",0,
1616,億泰,21,2,0,"2,655","2,674","48,537",0,1,0,0,1,"48,537",0,
1617,榮星,28,7,0,"1,730","1,751","42,378",0,0,0,3,3,"42,378",0,
1618,合機,36,2,7,"3,272","3,299","48,172",0,0,0,0,0,"48,172",0,
1623,大東電,9,0,0,190,199,"16,500",0,0,0,0,0,"16,500",0,
1626,艾美特-KY,0,3,0,"1,623","1,620","37,455",0,0,0,0,0,"37,455",0,
1702,南僑,0,0,0,263,263,"73,533",0,0,0,0,0,"73,533",0,
1707,葡萄王,1,1,0,347,347,"37,034",0,0,0,0,0,"37,034",0,
1708,東鹼,214,115,0,"6,703","6,802","62,250",5,0,0,53,48,"62,250",4,
1709,和益,"1,127",779,0,"30,742","31,090","119,254",4,6,0,51,53,"119,254",11,
1710,東聯,310,340,0,"11,980","11,950","221,425",0,0,0,78,78,"221,425",0,
1711,永光,385,342,1,"17,571","17,613","136,938",66,9,0,216,159,"136,938",0,
1712,興農,6,2,0,511,515,"105,123",0,0,0,0,0,"105,123",0,
1713,國化,1,16,0,"2,565","2,550","37,737",0,0,0,0,0,"37,737",0,
1714,和桐,596,281,0,"21,829","22,144","247,956",10,12,0,37,39,"247,956",2,
1717,長興,"1,412",895,0,"16,691","17,208","296,061",57,3,0,549,495,"296,061",6,
1718,中纖,455,296,2,"21,700","21,857","421,476",10,4,0,120,114,"421,476",8,
1720,生達,10,0,0,290,300,"49,141",0,0,0,0,0,"49,141",0,
1721,國慶科技,0,0,0,125,125,0,0,0,0,0,0,0,0,OX
1722,台肥,67,34,0,"3,015","3,048","245,000",0,0,0,0,0,"245,000",0,
1723,中碳,42,28,0,576,590,"59,226",0,0,0,0,0,"59,226",0,
1725,元禎,1,3,0,247,245,"45,457",0,0,0,0,0,"45,457",0,
1726,永記,0,0,0,24,24,"40,500",0,0,0,0,0,"40,500",0,
1727,中華化,520,174,0,"6,531","6,877","32,004",50,4,0,297,251,"32,004",0,
1730,花仙子,0,0,0,7,7,"15,808",0,0,0,0,0,"15,808",0,
1731,美吾華,0,2,0,280,278,"33,228",0,0,0,0,0,"33,228",0,
1732,毛寶,9,3,10,740,736,"10,610",0,0,0,1,1,"10,610",0,
