Date,Ranking,StockCode,StockName,Side,Position,BrokerName,BrokerID,BranchID,Buy,Sell,Net,SharePercent
20260108,7,00939,統一台灣高息動能,Buy,3,元大證券,9800,9800,4655,1988,2667,9.53
20260108,7,00939,統一台灣高息動能,Buy,4,台新-台北,9B00,0039004200320030,855,0,855,3.06
20260108,7,00939,統一台灣高息動能,Buy,5,中國信託,6160,6160,538,148,390,1.39
20260108,7,00939,統一台灣高息動能,Buy,6,國票證券,7790,7790,385,7,378,1.35
20260108,7,00939,統一台灣高息動能,Buy,7,富邦-新店,9600,9661,60,10,50,0.18
20260108,7,00939,統一台灣高息動能,Buy,8,新光-高雄,8560,8562,73,32,41,0.15
20260108,7,00939,統一台灣高息動能,Buy,9,台新-新莊,9B00,0039004200310039,20,9,11,0.04
20260108,7,00939,統一台灣高息動能,Buy,10,大昌-桃園,6460,6465,10,0,10,0.04
20260108,7,00939,統一台灣高息動能,Buy,11,國票-中正,7790,7797,10,0,10,0.04
20260108,7,00939,統一台灣高息動能,Buy,12,國票-台中,7790,0037003700390076,7,1,6,0.02
20260108,7,00939,統一台灣高息動能,Buy,13,國泰證券,8880,8880,5,0,5,0.02
20260108,7,00939,統一台灣高息動能,Buy,14,兆豐證券,7000,7000,2,0,2,0.01
20260108,7,00939,統一台灣高息動能,Buy,15,華南永昌-豐原,9300,9366,2,0,2,0.01
20260108,7,00939,統一台灣高息動能,Sell,1,國泰-敦南,8880,8888,87,1369,1282,4.58
20260108,7,00939,統一台灣高息動能,Sell,2,統一-基隆,5850,0035003800350041,0,623,623,2.23
20260108,7,00939,統一台灣高息動能,Sell,3,統一-新台中,5850,0035003800350044,3,605,602,2.15
20260108,7,00939,統一台灣高息動能,Sell,4,兆豐-鹿港,7000,0037003000300066,0,495,495,1.77
20260108,7,00939,統一台灣高息動能,Sell,5,統一-士林,5850,003500380035004d,5,488,483,1.73
20260108,7,00939,統一台灣高息動能,Sell,6,國泰-台中,8880,8882,2,362,360,1.29
20260108,7,00939,統一台灣高息動能,Sell,7,國泰-板橋,8880,003800380038004b,15,373,358,1.28
20260108,7,00939,統一台灣高息動能,Sell,8,統一-新竹,5850,5857,0,303,303,1.08
20260108,7,00939,統一台灣高息動能,Sell,9,統一-桃園,5850,0035003800350048,0,299,299,1.07
20260108,7,00939,統一台灣高息動能,Sell,10,統一-敦南,5850,5852,0,297,297,1.06
20260108,7,00939,統一台灣高息動能,Sell,11,統一-東湖,5850,0035003800350052,0,292,292,1.04
20260108,7,00939,統一台灣高息動能,Sell,12,統一-台中,5850,5856,1,256,255,0.91
20260108,7,00939,統一台灣高息動能,Sell,13,兆豐-埔墘,7000,003700300030004e,0,254,254,0.91
20260108,7,00939,統一台灣高息動能,Sell,14,群益金鼎-台中,9100,9184,1,219,218,0.78
20260108,7,00939,統一台灣高息動能,Sell,15,華南永昌-大安,9300,9307,0,203,203,0.73
20260108,8,6770,力積電,Buy,1,美商高盛,1480,1480,28336,11126,17210,5.54
20260108,8,6770,力積電,Buy,2,凱基-台北,9200,9268,19688,16141,3547,1.14
20260108,8,6770,力積電,Buy,3,台灣摩根士丹利,1470,1470,5190,2357,2833,0.91
20260108,8,6770,力積電,Buy,4,富邦證券,9600,9600,5338,3072,2266,0.73
20260108,8,6770,力積電,Buy,5,永豐金證券,9A00,0039004100300030,4487,2483,2004,0.64
20260108,8,6770,力積電,Buy,6,元大-竹科,9800,003900380030004b,3112,1115,1997,0.64
20260108,8,6770,力積電,Buy,7,元大證券,9800,9800,19673,18409,1264,0.41
20260108,8,6770,力積電,Buy,8,中國信託,6160,6160,1891,791,1100,0.35
20260108,8,6770,力積電,Buy,9,凱基-員林,9200,9231,544,43,501,0.16
20260108,8,6770,力積電,Buy,10,美好,5260,5260,663,210,453,0.15
20260108,8,6770,力積電,Buy,11,台新-新莊,9B00,0039004200310039,628,242,386,0.12
20260108,8,6770,力積電,Buy,12,兆豐-永和,7000,0037003000300058,440,67,373,0.12
20260108,8,6770,力積電,Buy,13,永豐金-市政,9A00,0039004100390057,1000,656,344,0.11
20260108,8,6770,力積電,Buy,14,元大-大同,9800,0039003800390047,603,268,335,0.11
20260108,8,6770,力積電,Buy,15,國票-北投,7790,7792,393,61,332,0.11
20260108,8,6770,力積電,Sell,1,摩根大通,8440,8440,5547,13594,8047,2.59
20260108,8,6770,力積電,Sell,2,兆豐-松德,7000,0037003000300069,150,1481,1331,0.43
20260108,8,6770,力積電,Sell,3,群益金鼎-敦南,9100,9101,148,1427,1279,0.41
20260108,8,6770,力積電,Sell,4,群益金鼎-大安,9100,0039003100380065,250,1462,1212,0.39
20260108,8,6770,力積電,Sell,5,元大-土城永寧,9800,9875,210,1264,1054,0.34
20260108,8,6770,力積電,Sell,6,新光,8560,8560,3073,3909,836,0.27
20260108,8,6770,力積電,Sell,7,兆豐-三民,7000,0037003000300068,99,808,709,0.23
20260108,8,6770,力積電,Sell,8,統一-仁愛,5850,0035003800350063,80,777,697,0.22
20260108,8,6770,力積電,Sell,9,永豐金-信義,9A00,0039004100390052,170,829,659,0.21
